id,feature1,feature2,feature3,feature4,category,value,boolean,date,function
1,0.4967141530112327,41.7411003148779,1.5838252526883998,4,D,49,False,2023-01-01,sin(x)
2,-0.13826430117118466,22.210781047073024,0.6984353243887704,6,A,14,False,2023-01-02,sin(x)
3,0.6476885381006925,11.98653673336828,0.860155902641585,2,B,15,True,2023-01-03,x**3 - 2*x + 1
4,1.5230298564080254,33.7615171403628,0.6782934333416935,3,B,31,False,2023-01-04,15*log(x)
5,-0.23415337472333597,94.29097039125192,0.2172148953252385,2,D,1,True,2023-01-05,x**3 - 2*x + 1
6,-0.23413695694918055,32.320293202075526,1.2817618030658038,2,A,54,False,2023-01-06,15*log(x)
7,1.5792128155073915,51.87906217433661,0.32957736836626295,7,A,3,False,2023-01-07,sin(x)
8,0.7674347291529088,70.30189588951778,0.024616481080688615,6,B,16,False,2023-01-08,sin(x)
9,-0.4694743859349521,36.3629602379294,1.036968786295274,5,C,87,False,2023-01-09,x**3 - 2*x + 1
10,0.5425600435859647,97.17820827209607,0.1949335702248227,3,B,57,False,2023-01-10,x**3 - 2*x + 1
11,-0.46341769281246226,96.24472949421113,2.821083147273303,5,A,75,True,2023-01-11,15*log(x)
12,-0.46572975357025687,25.178229582536417,3.0775624127880232,5,D,12,True,2023-01-12,exp(x)
13,0.24196227156603412,49.72485058923854,2.4635098846338415,4,B,74,False,2023-01-13,15*log(x)
14,-1.913280244657798,30.087830981676966,0.4622873964973667,5,A,96,False,2023-01-14,x**3 - 2*x + 1
15,-1.7249178325130328,28.484049437746762,0.015577315371944383,5,B,16,True,2023-01-15,x**3 - 2*x + 1
16,-0.5622875292409727,3.6886947354532795,2.6355234573318898,5,C,72,False,2023-01-16,x**2 + 0.5
17,-1.0128311203344238,60.956433397989684,0.5589382770530613,6,B,76,False,2023-01-17,x**3 - 2*x + 1
18,0.3142473325952739,50.26790232288615,3.400842016122056,2,B,24,True,2023-01-18,x**2 + 0.5
19,-0.9080240755212109,5.147875124998935,3.3137354761302054,4,A,28,False,2023-01-19,exp(x)
20,-1.4123037013352915,27.864646423661142,1.917387017179419,6,A,8,False,2023-01-20,15*log(x)
21,1.465648768921554,90.82658859666537,0.3487760681721603,5,A,92,True,2023-01-21,15*log(x)
22,-0.22577630048653566,23.95618906669724,0.4862919320986936,7,B,36,True,2023-01-22,x**2 + 0.5
23,0.06752820468792384,14.48948720912231,1.9047266524780797,6,C,90,True,2023-01-23,15*log(x)
24,-1.4247481862134568,48.9452760277563,0.3811462314307171,3,D,8,False,2023-01-24,x**3 - 2*x + 1
